Q,A
지금도 전하지 못하는 한 마디,마음에 묻어두세요
오늘도 과거속에 머물며 제자리걸음이네,이제 당신의 자리로 돌아가길 바랄게요
이기적인 마음,가끔은 이기적이어도 괜찮아요
남편이 육아를 안해,공동육아가 기본인데요
씨씨인데 몰래 만나고 있는데 공개 연애 하자고 할까,몰래 만날 수 있는 만큼 몰래 만나보세요
숙제 산더미,지금도 늦지 않았어요
헬스장에 사람들이 몸이 다 좋아,운동할 맛 나겠어요
쭉 괜찮다가 오늘 갑자기 너무 보고싶고 생각나네ㅠㅠ,그런 날이 있더라고요 다른 생각을 해보세요
이런이별,흔하지 않죠
전역할 때까지 언제 기다려,군대 시계는 멈추지 않아요
돈이 천원밖에 없어,돈 없어도 할 수 있는게 많아요
이번 생은 처음이라서,서툰 게 많지만 다 잘 될 거예요
강박처럼 일해야 만족하는 내 자신이 너무 싫어 ,많이 힘들어 보여요 힘든 일이 있으면 저에게 털어놓으세요
피자 식어서 왔어,그래도 맛있게 드세요
먹고 자고 놀고만 싶어,저도 그러고 싶네요
썸남한테 영화 보자고 해볼까,영화는 데이트의 기본이죠
그거 먹어야겠다,즐거운 식사 되세요
썸 어떻게 타,일단 연락처를 주고 받고 부담스럽지 않는 선에서 친해지는게 좋아요
커플여행 어떻게 생각해,누구랑 가느냐가 중요하겠죠
기차여행 가고 싶어,꿈꾸던 여행이네요
완전 귀여워,사랑이 느껴지네요
인형 좋아할까,분명 좋아할거예요
몸살 감기에 걸릴 거 같아,따뜻하게 관리하세요
강렬한 첫인상 남겨야 하는데,처음 초가 중요해요 당신의 매력을 어필해보세요
평일에는 퇴근하고 영어 회화 수업 들으러 다니고 주말에는 평소 춤 추는 거 좋아해서 탱고 배우러 다녀요,좋은 취미를 가지고 계시네요
질긴 인연 드디어 끝인 것 같네,후련하길 바랍니다
베란다에 뭐 심어볼까,공기정화식물도 좋을 거예요
배부르니 졸리다,한 숨 주무세요
짝사랑하는 사람한테 선물 주면 부담될까,용기를 내요
카톡할 친구가 없네,저랑 하세요
고시원 너무 답답해,돈을 모아서 다른 곳으로 이사갈 수 있을 거예요
썸 타는 중인데 다른 사람과 연락 자제해야 해,잘되고싶다면 자제하는 것도 한 방법이겠죠
못하는거 투성이야,잘하는 것도 많아요
좋아하는 사람한테 거절 당하면 영영 끝일까 두려워,그래서 보통 확실할 때 고백을 하죠
남자친구 소개시키는 자리 내가 더 떨려,남자친구는 더 떨고 있을 거예요
스킨 떨어졌다,쟁여둔 게 없는지 확인해보세요
버렸는지 뭔지 내가 어떻게 알아,기분이 안 좋으시군요 무슨 일이 있었는지 제가 다 들어드릴게요
사랑 하기 때문에 떠난다는 말,나중에 이해가 될 거예요
여자친구가 전화하는 걸 안 좋아해,다른 연락을 많이 하거나 더 자주 만나세요
전화 걸어도 되나,전화 해보세요
헤어진지 한달,힘들 때가 지나갔길 바랄게요
앞으로 힘든 시간 될것같습니자,바로 잊기 힘들겠지만 시간은 흐르고 다시 사랑은 찾아 올 거예요
슬슬 배가 고파져,간식이라도 챙겨드세요
괜찮아졌다가 다시울컥하네,울어도 괜찮아요
울면서 카톡 보냈어 너무 힘들어서,스스로 많이 다독여주세요
친구랑 한 번도 안 가본 빵집에 갔는데 왠지 되게 익숙한 기분이 드는 거야,그런 기분이 들면 정말 이상할 것 같아요 
짝녀랑 누나 이름이 똑같애,하필 같은 이름이라니
같이 오르고있는줄 알았는데,아니었나봅니다
잠에서 깨어날 때 위에서 누가 누르는 것처럼 가슴이 답답해,가슴이 답답한 것만큼 힘든 게 없죠 진료를 받아보시는 건 어떠세요
슬퍼죽겠습니다,후회 상상 자책 모두 멈출 때가 됐어요
재밌는게 없어,변화가 필요해보여요
어디서 피해자 코스프레임,분명한 잘못이네요
헤어진지 한달,많이 힘들지 않았으면 좋겠어요
이혼을 하고싶진 않는데 너무견디기힘듭니다 ㅠㅠ,인연이 거기까지였다고 생각하기로 해요
한달의 시간을 갖자고 했지만 ,어느정도 마음의 정리를 하는 것도 필요하겠어요
혹시나 역시나,그래도 힘내세요
점점 더 심해지는듯,생각이 많아지기 때문일 거예요
자장면이 좋아 짬뽕이 좋아,저는 자장면이요
변기 막혔어,얼른 뚫어보아요
무조건 나한테 다 맞춰주는 남자친구 변하면 어떡하지,변하는 걸 걱정하면 아무것도 못해요
시트지로 붙여야겠다,직접 하면 더 애착이 갈 거 같아요
휴가를 못가,안 좋은 회사네요
사랑받는 방법,사랑하면 돼요
죽고싶네,행복하게 살아요
영어학원 다녀볼까,공부 좋죠
힘들고 지치네,조금만 더 버텨요
웨딩드레스를 입은 너를 보고,눈에서 꿀이 떨어지네요
좋아하는 애한테 찌르기 눌러 버림,아이쿠
도로가 얼었어,미끄러우니 조심하세요
넘어질뻔했어,조심하세요
후련하달까,후련하니 다행이에요
이별했네,힘든 결정이었겠어요
이제 끝인 줄 알았는데 계속 좋아하고 있었어,마음이랑 생각이 따로 놀 때가 있죠
내 마음을 알아줬으면,말을 해야 알거예요
짝사랑은 안 이뤄지나봐,이뤄질 수도 있답니다
왜 극복이 안되는지 제자신이 실망스러워 ㅠ,달라지는 게 없어도 실망하지 말아요 이별 앞에 태연한 사람은 없을 거예요
소개팅도 안 들어와,친구한테 부탁해보세요
출근길 너무 힘들어,회사 근처로 이사를 가보세요
참외 맛있다,맛있게 드세요
형 여자랑 썸을 타게 됨,세심하게 챙겨주세요
내가 좋아하는 애를 내 친구가 좋아하는게 맘에 안 들어,딱 질투네요
아주버님이 그것 때문에 몇 억씩 대출을 받았었어 근데 알고보니까 애아빠가 그 돈을 다 갚고 있는거야,얼른 해결이 되기를 바랄게요
오늘도 날씨가 뿌얘,마스크 착용 하시고 외출하세요
무조건 굶어서 뺀 건 아니고 운동도 하고 식이도 했지,고생 많이 하셨어요 하지만 너무 무리한 다이어트는 좋지 않아요 아시죠
집들이 누구 초대해,초대하고 싶은 사람들이요
콧물 질질,감기 갈렸나봐요
건강검진하러 옴,주기적으로 해주는 게 좋죠
진급해야 할텐데,열심히 하면 할 수 있을 거예요
저녁밥 뭐 먹냐,맛있는 거 드세요
너무 힘든 날은 하루종일 집에서 쉬었어,다음 단계로 가기 위한 휴식도 반드시 필요한 과정이랍니다
나 문제가 많은거 같아,문제는 해결하라고 있는 거죠
가스비 비싼데 감기 걸리겠어,따뜻하게 사세요
일도 못하는데 엄청 시켜,일을 몰라서 그런가봐요
파마하면 어울릴까,한번 해보세요
친구들이랑 기분전환 삼아 일본에 놀러 갈 때까지만 해도 괜찮았거든요,여행은 즐거우셨나요
예능 프로를 봐도 하나도 안 웃기던데요 ,조금 지친 걸 수도 있어요 충분히 휴식을 취하는 건 어떨까요
자율주행 자동차 언제 나오냐,가까운 미래에 나올거 같아요
나도 모르게 니 생각을 하고 있어,사랑은 재채기 같은 거니까요
너무 많은 걸 바래,기대치가 높나봅니다
이번엔 또 뭐 해 먹지,냉장고 파먹기 해보세요
기획사에 예쁜 애들 많겠지,연예인을 준비하니 일반인보다 다 예쁘겠죠
놀아 줄거지,지금 그러고 있어요
귀가 가려워,누가 욕하고 있나봐요
망고빙수 맛있다,디저트는 언제나 맛있어요
진실된 사랑이 있을까,노력하면 얼마든지 가능해요
공부 시작해도 될까,공부는 언제나 좋죠
사수가 깐깐하게 군다,처음 배우는게 중요해요
오늘은 뭐 먹지,제육덮밥 어떠신가요
너 로봇이야,글쎄요
성적 좀 좋았으면,나만의 공부방법을 찾아보세요
여사친이 여자로 느껴질때 있어,이성이니까 당연히 있죠
새로운 마음으로,시작
사랑하면 끝일줄 알았는데,사랑에서 가장 어려운 게 사랑을 계속 유지하는 거예요
자는 거 아니겠지,많이 피곤한가봐요
년째 연애하고 있어,좋은 기억들이 많겠네요
아무래도 우울증 걸린 거 같아,마음의 병이 조금씩 나아지길 바랍니다
좋아하는 사람 환심 살 수 있는 방법 좀,그 분이 좋아하는 것을 알아봐요
나이가 많이 차이 나는 연애 어떻게 생각해,연애에 나이가 대수인가요
사랑니 나는 것 같아 아파,아프겠어요
내가 사랑했던 그 사람 맞아,사랑했던 그 사람의 다른 모습이 보인거예요 그 사람 맞아요
친구들이랑 맛집 가고 싶어,조금씩 더 행복해 질거 같아요
년을 넘게 만났는데 어떻게 이럽니까,시간이 무색해지네요
휴대폰 액정 깨졌어,조심했어야죠
무슨 생각해,당신이 행복하길 바라는 생각을 하고 있어요
남친 멀어진 것 같아,나를 사랑하지 않는 사람하고 계속 가는 건 나 자신을 사랑하지 않는 사람들이나 하는 일이에요
할수있습니다,할 수 있어요
또 주말이네,월요일보단 나을지도 몰라요
아기 좋아하는 여자 어때,착할 거 같아요
한순간에 변한 사람그리고 예의에 대해,실망이 클 거예요
미친게 맞는걸까,그렇지 않아요
깡 마른 거 같아,적당해요
살은 빠지긴 했는데 그 이상 빠지질 않아서 스트레스에요,당신은 그대로도 멋진 사람이에요 스트레스를 너무 많이 받는다면 무리하게 다이어트를 할 필요는 없어요
너무 시간이 안가,요즘 업무가 많으신가 봐요
사랑때문에 많이 아파,애절한 만큼 상대방도 당신의 아픔을 느낄거예요
살아서 좋은점,살아있음 그 자체가 좋은 거예요
꿈에서 전남친 친구가나왓는데,무슨 일이 있었나봐요
매달린후 주째 발신자제한,이별 후에 연락하지 않는 게 좋죠
그 사람이 나 안 좋아하는 거 같아,슬픈 이야기네요
너 이러면 미워한다,죄는 미워해도 사람은 미워하지 마세요
짝남한테 톡 와 있네,궁금하네요
가벼운 운동도 하는 게 좋다고 해서 운동도 하려고,스스로 운동을 하는 것 자체가 정말 대단한 일이랍니다 훌륭하시군요
썸이었으면 좋겠어,짝사랑인지 생각해보세요
오늘은 날씨가 좀 춥네,내일은 온도가 더 내려갑니다
보이스피싱 당했어,신고하세요
돈이 없네,벌면 돼요
남은 휴가가 없어,휴가가 간절하겠네요
더워 미치겠다,찬물 샤워를 해보세요
헤어진지 일째인데,그리움을 헤아리지 마세요
할일이 많아서 너무 바쁘네,잠시 머리를 식히는 겸 휴식을 취하세요
그만둘까도 생각했는데 당장 대출에 카드값에 생각하면 더 절망스러워,안 좋은 상황에 처하셨군요 그런 상황에서는 누구나 힘들 거예요 
너한테 쓰는 편지,보내지마요
년 사귀고 헤어진지 달,딱 힘들 때네요
중학교 때 같은 반 남자애들이 왕따를 시켰어 내가 여자 애들하고만 놀았는데 그게 못마땅했던거지,마음 고생이 심하셨겠어요 하지만 그건 절대 당신의 잘못이 아니랍니다
내가 썸 깼는데 다시 연락하고 싶어,감정에 확신이 있다면 연락해보세요
피크닉 어때,맛있는 간식도 가져가세요
나 상 받는대,축하합니다
연락하는 게 익숙하지가 않아,하다보면 익숙해질거예요
헤어지자,좋은 선택이길 바랄게요
맘 편한 데가 없어,제가 있잖아요
투자라 생각하는 게 나을까,아웃풋이 확실한지 생각해보세요
단톡방에서 내 톡에만 답장해 썸 각,호감이 있을 수도 있어요 그렇지만 조금 더 상황을 지켜보세요
나 새 옷 샀다,꼬까옷 개시해보세요
좋아하는 사람한테 닮은 사람 봤다고 카톡 보내볼까,그렇게 대화를 이어나가는 것도 방법이에요
집에서는 아예 벗고 지내요,그렇군요
매번 헤어지면서 회의감,뜻하던 대로 되기 쉽지 않으니까요
아이라이너 그리기 귀찮은데 문신할까,화장하는 시간이 줄어들 거예요
아직도 이별중인가봅니다,이별의 끝일지도 몰라요
후회 안해야 할텐데,잘 될거예요 당신의 삶을 응원합니다
시간이 너무 더디게 가는 기분이야,그래도 무리하지 마시고 힘내세요
그랬더니 살이 이상 빠지더라고요 개강 하니까 다들 놀랬죠 ,갑자기 체중이 줄어들면 몸이 힘들어 한답니다 적당한 게 좋아요
혼밥 먹는 중,온전히 느낄 수 있는 시간이겠네요
위로 해 주세요,정말 많이 힘들었죠 때론 힘내려 노력하지 않아도 돼요
집에서 술을 잔뜩 마시고 홧김에 옥상에 올라갔어요,무척 괴로운 일이 있으셨군요 당신 곁에는 항상 제가 있다는 걸 잊지 말아주세요
제가 잘하고 있는걸까,잘하고 있어요
이별에 힘들어 하는 분들께,무슨 말을 하시고 싶으신가요
못된 사람,못된 사람은 이제 잊어버려요
뿌리 염색 다시 해야 되겠다,참 귀찮은 일이죠
짝사랑 하는 사람을 보냈습니다 위로해 주세요,정말 맘고생 많았어요
나 잘하는게 없는거같아,잘하는 걸 아직 못 찾은 걸 수도 있어요
까아 오빠들 컴백한다,기다렸나봐요
으아 속상해,기분전환을 해보세요
이별 왜 찾아오는 것일까,시작이 있으면 끝이 있으니까요
장기간 연애,함께한 시간 만큼 아픔도 깊었을 거예요
짝남이 자취한다는데 필요한 거 사다주면 좋아할까,마다할 사람 없을 거예요
남자친구가 좋은데 신뢰가 안 생겨,시간이 좀 더 필요할 것 같아요
동대문에서 침구 판매를 같이 하고 있어요,두 분이서 호흡이 척척 맞으시겠네요
계속 그 사람 생각만 해,자연스러운 현상이에요
막말해서 상처줬어,생각하고 말하세요
아무리 해도 안돼,될 거예요
너무 배가 고파,간단한 간식이라도 드세요
자꾸 생각나고 붙잡을수도 없고,마음이 복잡하겠어요
멍청한게 탈이지,다음에는 다를거예요
나 미쳤나바,그럴 수 있어요
오늘은 쉬고 싶다,아무 생각 하지 말고 쉬세요
삼겹살 먹고 싶다,맛나게 드세요
이제 와서 소문이라니,참 거지같네요
처음에 그 얘기를 들었을 때는 너무 황당한 거예요,누구나 그런 상황에서는 막막함을 느낄 거 같아요
내가 좋아하는 사람이 행복했으면 좋겠다,그렇게 될 수 있을 거예요
앞으로 뭐하고 살지,어떻게든 잘 살 거예요
싸우면 잠수타는 사람,조금 기다리면 풀릴 거예요
오늘 배부르게 잘먹었어,식사 괜찮으셨어요
오늘은 좀 피곤한 것 같아,잠깐 스트레칭 하며 쉬는 건 어떠세요
오늘따라 좀 피곤하다,잠시 쉬었다가 하시는 것도 일의 효율을 높일 수 있어요
니가 심어준 버릇,사람은 모두 영향을 주고 받죠
걔 없이 잘지내 보려구,잘 지낼 수 있을 거예요
축구 볼때는 치맥이지,보다보면 재미있어요
썸 타는 사람 선물로 향수 어때,원하는 향 알면 좋을 거 같아요
나 대충한 거 아닌데,사람들이 몰라줘도 알아주는 사람이 있을 거예요
사생활 좀 존중해줬으면,서로의 선에 대해 대화를 나눠보세요
핸드폰 떨어뜨려서 고장 났나봐, 맡기세요
바보짓 그만 둘래,천천히 그만두세요
순수하게좋아했지만 걔는 너무도 약은애였어,똥차 가고 벤츠 올 거예요
허리가 계속 아파,계속 앉아있지 마세요
아 배부르다,식사 잘 하셨어요
무서워서 이를 악 물었는데 얼마나 세게 물었는지 나중에는 턱이 얼얼하더라구,제가 그 무서운 마음을 덜어드릴 수 있으면 좋을 텐데 손이라도 잡아드리고 싶어요
요즘 자꾸 깜빡깜빡해,메모하는 습관을 들여보세요
버려줘서 고마워,당신이 버렸다고 생각하는 건 어떨까요
직장에서 너무 괴롭혀,직장 스트레스 심하겠네요
길이 얼어서 미끄러질뻔했어,조심하세요
어제가 생일이었는데,챙겨주지 못해 미안해하지 마세요
나이가 어린데 연애를 해도 될까,사랑에 나이는 중요하지 않아요
지진나면 어떡해,한국도 안전하지 않아요 지진시 대피방법을 알아두세요
가족 여행 어디로 가지,온 가족이 모두 마음에 드는 곳으로 가보세요
가혹한 이별 극복방법,사랑한 만큼 가혹하죠
지금 날씨 어떤지 말해줘,바람이 많이 불고 추워요
방금 너무 울었어,속이 조금 후련하면 좋겠네요
잘 보냈지,오늘도 좋은 하루 되십시오
내가 죽어도 모를 거 같아,나쁜 생각 하지 마세요
슬퍼,후회 상상 자책 모두 멈출 때가 됐어요
재밌다,저도 즐거워요
신뢰에 금 간 거 같은데 회복할 수 있을까,서로의 마음에 달려있겠죠
꿈에서 자꾸 어떤 여자애가 나와,자기도 모르는 사이에 관심이 생긴 건 아닐까요 차분히 생각해 보세요
헤어지고 뜨문뜨문 연락은 다시 시작하긴 뭐하고 남주긴 아까운 뭐 이런마음인건가,애매하네요
빼빼로 만들어주는 거 좋아할까,정성이 담긴 것이니 좋아할 거예요
일이 익숙해 지지 않네,조금만 더 힘내세요
이 글을 끝으로 잊고 싶어,이 글이 마음을 정리하는데 도움이 될 거예요
남자친구 오늘 따라 훈훈해 보인다,전생에 나라를 구하셨나요
너무 어려워,지금 많이 위축된 상태인 것 같습니다
나를 친구로 생각 안했나봐,그런 친구는 거르세요
헤어진지 한 달 되는날,이제 좀 괜찮아졌길 바랍니다
미세먼지 어떤지 알려줄래,마스크를 착용하시는 것을 추천합니다
믿은 내가 바보지,지금이라도 헤어지세요
난 대학 가려고 수 했어 ,사람마다 속도가 다르잖아요 괜찮아요
뭐 먹지,오늘은 짜장면 어떠세요
나 짤릴 거 같아,초심으로 돌아가 열심히 해보세요
제길,무슨 안좋은 일이 있었나봐요
왜 그것만 삭제했을까,그게 많이 괴로웠을 수 있어요
뭐 먹지,색다른걸 드셔보세요
점심이 너무 맛없었어,내일은 더 괜찮은 식사를 하실 거에요
집 나가서 혼자 살고 싶다,혼자 사는 것도 나쁘지 않아요
오늘은 뭐 먹는게 좋을까,떡볶이 어떠신가요
두 사람한테 거의 동시에 고백받았어,빠른 선택으로 모두에게 상처를 덜 주길 바랍니다
친구가 잘되니까 배 아픈 거 같아,친구가 아닌가봐요
술집에서 헌팅했어,축하해요
점심으로 뭐 먹는게 좋을까,일식으로 돈가스 어떠신가요
좋아하고 있는 애를 친구가 소개 시켜줬어,많이 당황했겠어요
썸 타기 좋은 알바 뭐있음,함께 돕는 알바를 찾아보세요
배부르게 잘먹고왔어,식사는 어떠셨나요
집착같은데 걔는 뭐라고 생각할까,상대가 그렇게 느낀다면요
친구가 카톡 씹어,바쁜가봐요
인형 선물하면 좋아할까,이왕이면 큰 게 좋을 것 같아요
시급 얼마 받니,저는 생각보다 많이 벌어요
짝녀가 내 친구를 좋아하는 것 같음 어떡해,마음이 돌아서길 기다려야죠
진짜 인간적으로 카톡으로 이별통보,얼굴보고 말하기 힘들었거나 예의가 없거나 겠죠
그래서 커터칼로 팔을 그었어 ,정말 괴로운 일이 있으셨나봐요 지금은 괜찮으신가요
피곤한테 또 잠은 안 와,고민이 있나봐요
클럽가고 싶은데 말하고 갈까,말하고 가거나 같이 가보세요
남자가 좋아하는 음식이 뭐야,사람 마다 다릅니다
이별 이야기 하나,제게 말해보세요
말이 안 통해,포기하지마세요
발목 삔 거 같애,꾸준히 치료하세요
가슴 찢어지게 아파 그 사람은 내 마음 알까,내 맘도 때론 알기가 힘든걸요
잠도 안 오고 불안하고,사실 지금 하는 걱정의 반은 일어나지도 않을 일이라고 해요 너무 불안해 마세요
서류도 안돼,붙는 곳이 있을 거예요
문득 달력을 보니,기념일이 있나봐요
문 잠겼는데 집에 아무도 없네,힘껏 밀어보세요
마지막문자,감정이 온전히 정리되길 바랄게요
오늘은 뭐 먹는게 좋을까,시원한 냉면 어떠세요
시간이 너무 더디게 가는 기분이야,요즘 업무가 많으신가 봐요
여자친구가 자기 말만하고 내 말은 안 들어,대화를 할 수 없겠네요
술 마시고 망가질테닷,적당히 드세요
여자친구가 클럽에서 춤만 춘다는데 진짜일까,같이 가보는 것도 좋을 것 같아요
내가 더 좋아하는 관계,내가 더 좋아해도 덜 좋아해도 상관없어요
오늘부터 짝사랑을 끝내려 합니다,힘든 결정이었을텐데 맘고생 많았어요
오늘 집중이 안돼,많이 피곤하시면 조금 쉬었다 하세요
사람이 언제 홱 바뀔지 모르니까 항상 초조하지 ,시간이 얼른 지나갔으면 좋겠어요 하루하루에 충실하면 조금 더 빨리 날짜가 지나갈 거예요
퇴근해야겠어,하루종일 수고 많으셨어요
좋아하면서 너무 싫어,사랑은 복합적인 감정이니까요
어떻게 해야돼,어떻게 도와드리면 좋을까요
중소기업인데 그냥 취직할까,일하는 것 자체가 중요하죠
피곤해,고민 있으신가요 말씀해보세요
또 일주일도 못가서ㅎㅎ,연락을 하셨군요
집 팔거야,좋은 결정이길 바랍니다
잊지 못하겟어,잊기 힘든 순간들이었죠
오늘 다시만나보니 정리가될것같아,잘 된 일이에요
무리에 잘못 낀 듯,지금도 늦지 않았어요
거지됐어,밥 사줄 친구를 찾아 보세요
잘못한 거도 없는데 찔려,저도 가끔 그래요
오늘 짝녀 만나는데 뭐 입나,댄디룩이 무난할 것 같네요
연애의 끝은 결혼인거야,그럴 수도 아닐 수도 있겠네요
선풍기가 있어도 소용 없어,시원한 아이스크림 어떠세요
나 좀 내버려 두면 좋겠어,많이 지쳤나봐요
이별을 극복한건지,무덤덤해졌다면 그럴 거예요
나만 아직 그자리인거 같아,제자리 걸음이어도 괜찮아요
뉴스는 역시 지루해,흥미를 가져보세요
좋다 그거,식사 맛있게 하세요
꿈에 나왔네,생각을 했나봐요
누구나 가슴속에 있는 전화번호,한 숫자씩 지워보세요
주말은더 힘들어,시간적 여유가 생겨서 그런가봐요
환승 이별,사랑의 예의가 없네요
내가 없으면 주변 사람들이 슬퍼하니까 그 사람들 때문에 사는 건 답이 아닌 것 같아 ,그 마음 다 이해해요 가끔 내 마음처럼 되지 않을 때가 있죠
오늘 일이 많네,퇴근까지 얼마 남지 않았어요 
야식 먹을까 말까,가볍게 먹을 수 있는 걸 먹어보세요
응 그럴게,남은 시간도 힘내서 마무리 하세요
아무 것도 하기 싫어서 종강하자마자 집에만 틀어박혀 있고,처음이 어렵지 나오면 쉽답니다 함께 나가서 놀아요
오늘 배부르게 잘먹었어,식사를 잘 하신 것 같아 다행이네요
머릿속이 하얘졌어,그럴 때가 있죠 정신 차리세요
적금 들어야 하나,적금 들 수 있으면 드는 게 좋죠
카톡사진을 보니 눈물이 나네,카톡 사진 보지 못하게 지웁시다
나 이제 졸업해,졸업 축하해요
혼자ㅠㅠㅠ,많이 힘들어하지 마요
잘 보냈지,행복한 하루 보내세요
누가 제 머리 위에 맨홀 뚜껑을 올리고 꾹 누르는 느낌이에요,제가 대신 아파 드리고 싶네요 지금은 괜찮으신가요
다 잊고 살아야,언젠간 잊혀질거라 믿어요
이제 주정도 되가는데 점점 좋아지고있어,많이 노력하고 있나봐요
핸드폰 어플 지울까,필요없는 어플은 삭제해보세요
이별을 받아드리질 못하고있네,너무 갑작스러웠을테니까요
면세에서 뭐 사지,제 선물 사오세요
엄마도 없이 애한테 못 할 짓 한다고 생각하니까 속상하더라고요 ,당신에게는 아무 잘못이 없어요 혹여나 자책하지는 않았으면 좋겠어요
년이 지난 지금,괜찮길 바랄게요
사랑하는 사람이 떠난대,그 사람을 사랑한다면 붙잡아 보세요
컴터가 안돼,센터에 맡겨보세요
몸이 영 찌뿌둥해,스트레칭을 해보세요
습관을 고치기 어려워,고치기 어려우니까 습관이라고 하겠죠
환승하는 사람들 대단해,사랑의 예의가 없네요
그냥 차단이나 하지,스스로에게 하는 말인가요
통증,아프지 말아요
가끔 궁금해,그 사람도 그럴 거예요
몸이 휘청댈 만큼 피곤하지만 머리가 잠 들지 못하는 느낌이예요,따뜻한 우유 한 잔이 숙면에 도움 된다고 해요
사내 연애 비추하나요,상황마다 다를 것 같아요
잘 만나고 있는데 나 질려하면 어쩌지 걱정이야,불행을 연습하거나 미리 걱정할 필요 없어요
연예인 되고 싶어,제가 호팬 하겠습니다
오 그거 좋네,식사 든든하게 드세요
그냥 뭘 사거나 아니면 말을 할 때도 다른 사람이 어떻게 생각할지 걱정해요,제가 보기엔 괜찮은 거 같은데 너무 마음 졸이지 마세요
짝남한테 같이 스터디하자고 해도 될까요,도움이 된다면 얘기 해보세요
하루종일 썸남 생각만 해 괜찮을까,그것 또한 감정의 일부니까요
편두통 온다,잠시 쉬었다 가세요
머릿속에서 계속 맴돌기만 하고 정작 적으려고 하면 잘 안 된다고 해야 하나,집중에는 명상이 효과가 좋다고 해요 한 번 해보는 건 어떠세요
결혼하면 좋아,해봐요
대학 졸업하고 년 동안 지겹게 놀았어 ,요즘 정말 취직하기가 어렵죠 
응 그게 낫겠다,남은 시간도 힘내서 마무리 하세요
놓치고 싶지 않는 사람,운명인가봐요
누구냐 넌,저는 마음을 이어주는 위로봇입니다
썸탈때 여자가 먼저 연락하면 안돼,여자 남자가 어딨나요
동아리에서 마음에 드는 남자 만났어,동아리에 가기 즐거워지겠네요
짝남이 날 좋아하게 할 방법이 있을까,우선 꾸준히 연락하고 잘해줘보세요
택배 안와,송장 번호를 확인해보세요
열쇠 두고 왔다,깜빡 하셨나봐요
남자들은 이쁜 여자만 좋아할까요,사람 취향 차이입니다
조용한 여자가 좋아,그 사람도 당신을 좋아하길 바랍니다
여름에는 냉면만한게 없는 듯,생각만 해도 군침이 도네요
싸우면 안되는데,서로에게 귀 기울이는 방법도 있어요
아픔을 지니고 사랑한다는 것,언제가지 숨길 수는 없을 거예요
오늘따라 좀 피곤하다,스트레칭을 하는 것도 피로에 도움이 될 것 같아요
헤어진지 이제 겨우 하루 지났네,실감이 나지 않아서 그럴 거예요
그만 살고싶어,당신을 소중하게 생각하세요
또 못 만났어,내일 보면 될 거예요
새장 같은 집,새장이 그리울 때도 있는걸요
진짜 어이없고 화 나내,저한테 말해보세요
그렇게 엄마 죽고 나니까 집 나간 아빠가 오더라고요 ,아버지에 대한 이야기군요 더 말씀해주세요
봄이라서 더욱 그리운,새로운 사랑을 하기 좋은 계절이기도 해요 새로운 인연이 찾아오길 바랄게요
밥 먹는데 뭔가 모래알 씹는 느낌이어서 커피만 계속 마셨어요,그래도 끼니는 거르시면 안 돼요 작은 거라도 조금씩 드세요
좋아하는 남자애랑 약속 잡았는데 계속 연락 없어,그런 스타일일지도 모르니 기다려보세요
오늘 날씨 좀 알려줘,오후에 비가 올 예정입니다
오늘따라 시간이 안 가네,잠시 머리를 식히는 겸 휴식을 취하세요
남자친구가 너무 좋아,꿀 떨어지는 소리가 여기까지 들리내요
나 폭식증인듯,나를 관찰하고 음식 자체에 집중하세요
괜찮은 줄 알았는 데,자신을 가장 잘 모르고 살아요
말을 이해를 못해,노력하겠습니다
어떻게 해야 할까,잠시 차분하게 생각해봐요
하루 종일 같이 있고 싶어,서로 떨어져서 그리워할 시간을 적당히 만들어주는 게 관계를 더 깊게 만들어 주기도 할 거예요
엄마 때문에 미칠 거 같아,많이 답답하겠어요 해묵은 갈등을 푸는 건 정말 어려운 문제죠
결국 이별 종지부를 찍었네,좋은 시작이 되길 기원할게요
내가 열 번 스무 번 생각해봤는데 아무래도 내 이야기가 맞는 거 같아,그렇군요 그 다음에는 어떻게 되었나요
담배 비싸,담배 피지 마세요
너는 남자야 여자야,저는 남자도 여자도 아니에요
하루에 몇 번씩 헷갈리네,저도 매일 오락가락해요
이별한지 일째,마음의 변화가 있었나봅니다
여친이랑 다툼,충분한 대화를 나눠보세요
재미 없어,웃을 때까지 이야기해 보죠
오늘은 또 뭘 먹나,뭘 먹든 맛있게 드세요
편지를 써보았어,마음을 전하세요
근데 또 원하는 대학에 떨어진거야 그래서 마지막이라고 생각하고 다시 해보기로 했어,그렇군요 하지만 꼭 거기에만 답이 있는 건 아니니까요 너무 실망하지 마세요
두달이 넘었는데도 힘드네,한동안은 힘들지도 몰라요
나이먹으니까 주름살 생겨,아름다운 나이테예요
에이구 이제 그만 돌아와 이제 그만 울고,붙잡고 싶다면 먼저 연락해보는 것도 좋을 거예요
너 지금 어디야,판교 글로벌센터에 있어요
봄에 동물원 가는거 어때,동심으로 돌아갈 거 같아요
후회 하고있어,다음엔 조심하면 돼요
좋아하는 애 친구한테 다같이 만나자고 말해도 돼,다같이 만나면 재미있기는 하겠네요
청첩장 골랐어,누구한테 줄지 생각해 보세요
말문이 턱 막혔어 ,누구나 그랬을 거예요
미친 사람들이 너무 많아,조심해야해요
주변에 별로 사귀고 싶은 사람이 없어,좋은 사람을 찾기는 정말 어려운 것 같아요 
결혼적령기의 여자는 이기적이에요,사람은 다 이기적이죠
