유저,구분
전 제가 세상에서 제일 불행한 것 같아요,감정/절망감
내가 너무 바보 같아요 시도 때도 없이 눈물이 나고 우울해요,감정/우울감/눈물
올해 들어 세 번이나 공황발작이 왔어,증상/공황발작
계속 죽음에 대한 생각을 하게 됐어요,감정/자살충동
근데 이따금 되게 슬퍼져요,감정/슬픔
저한테 무슨 문제가 있다는 생각이 계속 들었거든요,배경/자각/정신질환
그런 거 보면 내가 더 화가 나요,감정/화
불쌍해 하면 안 되는데 애들이 너무 불쌍하고,감정/슬픔
그래서 자려고 누우면 잠도 안 오고 계속 깨는 것 같고,증상/불면
그 후로 일주일에 한 번은 뭘 던지거나 때렸어요,배경/남편/폭력
그 오빠 되게 씀씀이가 커서 뭐지 싶었는데 되게 잘나가는 집안인가 봐요,배경/대인관계
근데 대학 들어오니까 또 우울해져가지고,감정/우울감/증상재발
분명 내 방엔 시계가 없는데도 째깍거리는 소리가 들리고,증상/환청
대 이후로 깊은 잠을 못 잔 거 같아요,증상/불면
근데 아무리 생각해도 그런 게 없거든,모호함
아이는 없어 낳을 수 없다고 해서,배경/자녀
그래도 어찌저찌 키워서 제 앞가림 잘 하고 살아요,모호함
여자친구랑은 건너 건너 아는 사이였어요,배경/여자친구/동거
어지럼증 생긴 지는 몇 달 됐는데 끼니를 걸러서 그런가 보다 하고 넘어갔어,증상/어지러움
아직도 그게 너무 선명해 아빠가 축 늘어져서 꼼짝도 안 하던 거,배경/부모/아버지/죽음
심장도 막 두근두근하는 게 느껴지는데 이대로 앉아 있을 수가 없겠더라고요,증상/두근거림
왠지 뭘 자꾸 빼먹은 거 같고,증상/반복사고
원래 술을 잘 안 마시는데 승진한 후에도 거의 맨날 마시게 됐어요,배경/음주/자주
병적인 귀찮음이 생겼어요,증상/무기력
주체가 안 돼,감정/감정조절이상
너무 답답해서 미칠 거 같을 때가 있어요,감정/답답
제가 한 사이트에서 만화를 연재해요,배경/직장
또 그럴까 봐 너무 불안해,감정/불안감/증상재발
언제쯤 괜찮아질까요,감정/괴로움
근데 막상 나오니까 너무 힘드네요,감정/힘듦
나만 어디 버려져 있는 느낌이에요,감정/고독감
그것 때문에 너무 스트레스를 받았죠,배경/생활/스트레스
그냥 누우면 잡다한 생각이 많아져요 꼬리에 꼬리를 물고 계속 끝나지 않은 생각들이 괴롭혀요,증상/불면/생각많음
문제는 엄마들이야 학부모들이 얼마나 말이 많은지스트레스가 장난이 아니야,배경/직장/스트레스
아빠가 그립진 않지만 이 상황이 날 너무 힘들게 해,감정/힘듦
마음 단단히 먹으라구요,모호함
년 전에 남편이 여자후배랑 바람이 난적이 있어,배경/남편/바람
원래부터 늦게 자는 편인 것 같아요,증상/불면
요즘 전세계적으로 불황이라고 하잖아,배경/경제적문제
연탄이 더 싫어진 건 중 때였어 아버지가 돌아가셨거든,배경/부모/아버지/죽음
갈피를 못 잡고 헤매는 기분이야,감정/심란
꾹꾹 눌러 참아도 자꾸 울컥해,감정/눈물
같이 사업을 하게 된 지는 한 년 됐어요,배경/사업/남편/동업자
내 팔자는 왜 이럴까,감정/부정적사고
차 끌고 나가서 이대로 사고 내서 죽어버릴까 싶은 생각도 해봤고,감정/자살충동
또 그런 증상이 나타날까 봐 걱정되네요,감정/걱정/증상재발
솔직히 친구가 꼭 있어야 한다고 생각하지 않거든요,배경/친구
한 작년 월 쯤부터 그 때부터 계속 반복적으로 확인하게 됐어요,증상/반복행동/확인
친구들이 넌 왜 이렇게 피곤하게 사냐고 하는데 나도 내가 왜 이러고 사는지 모르겠어 답답해,감정/답답
이런 게 몇 번 있다 보니까 언제 죽을지 몰라서 무섭더라구요,증상/죽음공포
마음을 편하게 먹어 보려고 했는데 그게 잘 안 되더라고,자가치료/심리조절/증상지속
그런데 힘은 좀 빠지는 거 같아,증상/힘빠짐
막 좀 일탈을 하고 싶더라구요 부모님이랑 사이가 좀 안 좋거든요,배경/부모/관계소원
처음에는 너무 오래 자면 허리가 아파서 조금밖에 못 잤거든,증상/통증
연애해서 결혼한지 년됐어,배경/결혼
좋은 거절멘트 있어요,일반대화
한국에 돌아오고 나서 증상이 악화된 거 같아,현재상태/증상악화
결국은 의도치 않은 임신으로 혼인신고를 했어요,배경/임신
진정하려고 샤워하려고 했는데 그럼 또 몸에 쭉 힘이 빠져,증상/힘빠짐
부인과 헤어진 지는 좀 됐어요,배경/이혼
주변에서는 이상한 시선으로 애기를 바라봤어,배경/자녀
머리가 깨질 거 같아,증상/두통
그러다 다른 집 사람까지 물면 어떡하냐고 아는 고양이 키우는 사람한테 줘버렸다는 거야,배경/애완동물/가족/갈등
그래도 사는데 지장은 없었어요,부가설명
죽고 싶은데 이유가 있어요,감정/자살충동
방법이 있을까요,일반대화
좋은 방법 있으면 추천해주세요,일반대화
결국엔 자기 가게에 나와서 일을 하라고 하더라,배경/취업
잘 참고 있다가한 순간 폭발하듯 정신 없이 먹었어요,증상/폭식
그 때 저랑 같이 일하던 사람들은 다 부장교사나 교감 되고 그렇거든요,모호함
옷을 입고 지내는 게 너무 싫어요,배경/문제/불편감/옷
년 전에 퇴근하다 교통사고가 났어요,배경/사고/교통사고
진동이 계속 와서 확인해보면 새로운 메시지가 아무것도 없는 거예요,증상/환청
학교에서 되게 인기 많은 애였거든 착하고 잘생기고 공부도 잘해서,배경/학교
중 때 아빠가 돌아가셨어,배경/부모/죽음
아니 아무리 무서웠어도 그렇지 이럴 일이 있나 싶더라고,모호함
뭘 해도 금방 지쳐요,증상/피로
저도 이러기 싫은데 마음대로 안되네요,감정/통제력상실
예능 프로를 봐도 하나도 안 웃기던데요 ,감정/무미건조
둘 다 아직 학생이지만 그래도 마음이 잘 맞으니까,배경/여자친구
지금 회사에서 하는 일이 진짜 단순 작업이에요,배경/직장
애는 자꾸 보채고 가슴이 점점 답답해졌어요,증상/가슴답답
고등학교 졸업하고 바로 일을 시작했으니까 제법 오래 다녔죠,배경/직장
근데 그걸 유명 연예인이 가져간 거예요,부가설명
년 전에 이혼을 했어,배경/이혼
방금 들었던 말도 돌아서면 잊어버리고 민망해서 두 번 세 번 묻지도 못하겠어요,증상/기억력저하
그냥 누워만 있는 거지 눈은 말똥말똥해,증상/불면
행복한 가정은 바라지도 않아요,배경/가족/갈등
지난 겨울 어머니가 지병으로 돌아가셨어요,배경/부모/죽음
꼭 뭘 해야 해야만 해 아무것도 안 하고 살 수도 있잖아,증상/무기력
안되는건 안되는거니까,감정/모호함
가끔은 진짜 자살하고 싶다는 생각도 했어요,감정/자살충동
세상에 저 혼자 있는 거 같아요 ,감정/고독감
일주일에 세 번 정도 가슴이 미친 듯이 뛰어요,증상/가슴떨림
수술한다는 말에 얼마나 걱정이 되던지,감정/걱정
발작 증상이 심해서 하루에 한두 번씩 일어났어,증상/발작
근데 검사 다 해봤는데 아무 이상이 없다는 거야,치료이력/검사/이상없음
책상에 분도 못 앉아 있겠어,증상/집중력저하
죽고 싶은데 죽는 것도 쉽지가 않네,감정/자살충동
아티반을 처방받았는데 머리가 아프고 술 마신 것처럼 몽롱하고 잠도 시간 밖에 못 잤어,증상/두통/불면
내가 열 번 스무 번 생각해봤는데 아무래도 내 이야기가 맞는 거 같아,증상/과대망상
지난주에는 더 이상은 못 참겠다 안 되겠다 생각이 들었어요,감정/답답
걔가 학력도 별로 안 좋고 집안도 그저 그렇긴 한데 그런 말은 좀 심하지 않아요,감정/분노
인생이 어디서부터 잘못된 건지 모르겠어,감정/허무함
그런데 요즘 불면증이 심해졌어 ,증상/불면
그래서 그런지 뭔가 불안한 마음이 되게 커졌어요,감정/불안감
침대에 누워 있는 시간은 긴데 만족스러운 잠을 못 자는 거 같아요,증상/불면
그런데 갔다 오니까 숨 쉬기가 너무 힘들어요,증상/호흡곤란
그리고 그게 나중에 경쟁력이 있을 지도 모르겠어요,배경/진로
사람들 없을 때면 펑펑 울었어요,감정/눈물
반복적으로 이야기를 하는 게 저도 의식이 되거든요 ,증상/반복행동/대화
친구들이랑 연락하기도 싫었죠,증상/은둔
그리고 그 사람이 지금 반 정도는 돈을 갚아서 그것도 영향이 있는 것 같아,배경/경제적문제
아는 형 결혼식에 갔다가 피로연에서 지금 여자친구를 처음 만났어,배경/여자친구
남자친구는 정말 멋져요 타고난 예술가예요 ,배경/남자친구/동경
여러모로 괴로운 날들이었어,감정/괴로움
인생을 낭비하고 있는 기분이야,감정/자괴감
원래 성격이 되게 소심했어요,배경/성격/소심
근데 너무 감정이입해서 봤는지 나도 암에 걸리면 어떡하지라는 생각이 막 드는거에요,감정/걱정/건강염려
우울함은 돈으로 해결되는 부분이 아니니까요,감정/우울감
두 분이 아직 이혼 절차는 밟지 않았는데 곧 할 거 같기도 해,배경/부모/이혼
아버지는 그런 점이 싫으셨나 봐요,배경/부모/갈등
집은 시어머니가 해주시고 예단도 거의 최소로 해서 겨우 결혼했지 뭐,배경/결혼
근데 우울한 상태가 오래 가서 뭔가 다른 문제가 있는 것 같더라구요,감정/우울감
머리 위에 꼭 누가 바위라도 얹어놓은 것 같아요,증상/두통
원룸 사업도 하고 있어요,배경/사업
가슴도 무거운 게 누르고 있는 것처럼 갑갑하고,증상/가슴답답
예를 들어 제가 지금 출판사에서 일하거든요,배경/직장
연애 안 한지도 정말 오래됐어 세어보니까 년이나 됐더라고,배경/남자친구/없음
조금이라도 흐트러지거나 틀린 게 있으면 못 참는 편이에요,배경/성격/완벽추구
동창 중에서는 내가 식을 제일 빨리 올린 것 같아,배경/결혼
시간이 갈수록 열심히만 한다고 다 되는 게 아니란 걸 알겠더라,감정/좌절
하루종일 딸만 생각하고 있어,감정/걱정/자녀
지금은 방을 운영하고 있어,배경/사업
그리고 하루 동안 몰아서 시간 넘게 잠만 자요,증상/과수면
방금도 검사 하나 받고 왔어요,치료이력/검사
바로 증상이 악화되더라고요,현재상태/증상악화
고등학생 때는 좀 괜찮아졌는데 그 때부터 우울했어요,감정/우울감
그걸 아직도 악몽처럼 꿔,증상/악몽
계속 집에만 있게돼,증상/은둔
허리가 왜 이렇게 아픈지 모르겠어요,증상/통증/허리
근데 엄청 비싼 산후조리병원에 들어간 거예요,배경/시댁
그러니까 생각이 많아져서 더 못 자고,증상/불면/생각많음
어릴때부터 그랬는데 요즘은 아예 개월에 한번씩 보름정도 하는것 같아,증상/생리불순
예전에는 일어나지 않았던 일들이 최근에 너무 많이 생겼어,감정/심란
보름 전에 소주 병 마신게 마지막이야,배경/음주/과음
그러다 이제 월에 영장이 나와서 입대를 했거든요,배경/군대/군입대
샤워하러 들어가려다가 진짜 너무 숨이 막혀서,증상/호흡곤란
하지만 남편은 언제나 조용했어요,배경/남편
내가 한국으로 귀국해야겠더라구,배경/귀국
지난 번에는 앉은 자리에서 치킨 세 마리랑 피자 두 판 먹었어요,증상/폭식
두 달 전부터 아무 이유 없이 의욕이 없어,감정/의욕상실
불안하기도 하고 초조하기도 해요,감정/불안감/초조함
그 모습이 듬직하고 믿음직해 보였어요,배경/연애
그러다 우연히 어떤 영상을 보게 됐는데 그게 진짜 엄청 징그러웠거든요,감정/불쾌감
잠깐 그럴 줄 알았는데 계속 무기력하더라구요 너무 귀찮아졌어요,증상/무기력
그냥 누워서 잠만 자고 싶네요,증상/무기력
핑계일 수도 있지만 어이없는데 화나서 알겠다고 했어,감정/화
하루에 한 끼 먹으면 많이 먹는 거야,증상/식욕저하
내내 그렇게 심장이 쿵덕대는 건 아니었고 그랬다가 말았다가 하긴 했어요,증상/두근거림
재수할 때는 따로 학원은 가지 않고 인강만 들었거든,배경/대학/재수
가족들도 나보고 유난이라고 하는데 진짜 아무도 내 맘 몰라,감정/서운함
그래서 자취방에선 잠만 자고 거의 항상 밖에 있었어,배경/생활
머리 뒤가 바늘로 콕콕 찌르는 것처럼 아파요,증상/두통
소변 보고 다시 잠들 때,배경/문제/불안감/소변
누명은 쓴 건 아닐까 싶기도 한데 아무리 봐도 걔가 한 짓이 맞아서요,배경/친구
학교에서 전화 왔다고 학교를 안 나가는 게 무슨 말이냐고,배경/학교/결석
사실 내가 지금 여친을 좋아해서 만난 게 아니거든,배경/여자친구
나 스스로 괜찮다 떨리지 않는다 이렇게 최면 걸면서,자가치료/심리조절
저도 지쳐서 한동안 안 만나다 얼마 전에 다시 봤거든요,모호함
씹는 게 싫어서 그냥 주스 같은 거나 마셔,증상/식욕저하
누나랑 남동생은 공부 다 잘하는데 나만 한참 떨어져,배경/공부/부진
겨우 잠들었다 싶으면 새벽에 눈이 반짝 떠지고 중간에 깨면 그냥 아침까지 쭉 깨 있는 거야,증상/불면
이 세상에서 완전히 사라지고 싶어,감정/자살충동
걔만 없으면 우리 가족이 편안해질 텐데 답답하네요,감정/답답
강박적인 성향이 있는 것 같아요,증상/반복행동
목을 돌리지도 못할 정도로 아파요,증상/통증/목
서로를 위해서 헤어지는 게 맞겠다 그런 생각이 들었어요 ,배경/여자친구/이별
평소 완벽을 추구하는 편이예요 ,배경/성격/완벽추구
여기서 그냥 시간만 버린다는 느낌,감정/부정적사고
좋아하는 게임이 있는데 이벤트 참여하려면 카페 가입을 하래,모호함
근데 우리 아파트가 낮아서 죽진 못하고 다치기만 했어,증상/자살시도
의욕이 하나도 안 생겨요,감정/의욕상실
그 당시에 제가 아주 죽고 싶었다는 것밖에는 생각이 안 나요,감정/자살충동
의사가 보더니 예후가 좋지 않을거라고 하더라구요,치료이력/병원내원
저주가 묻어있는 느낌이야,증상/과대망상
유학 준비해야 해서 못 만나겠다고 하는데 할 말이 없더라구요,배경/연애/이별
그래서 자려다가 말고 운동 가방을 챙겨서 헬스장으로 갔어,배경/생활/운동
년 전에 어머니가 돌아가셨어요,배경/부모/죽음
간염 때문에 병원에 갔을 때 처음으로 묵직한 두통이 왔었거든,증상/두통
혼자 이리뛰고 저리뛰는 것도 지쳤어,감정/힘듦
그렇다고 직접적인 사고가 있었던 건 아니에요 만약 그랬다면 저는 그냥 자살했을 거예요,배경/사고
오후에 두통이 심해져,증상/두통
제가 너무 한심스러워요,감정/자괴감
제 주변에 있는 모든 것들이 다 불편했어요 고등학교 때 특히 심했던 것 같아요,감정/불편감
벌써 이나 쪘어,증상/체중증가
남친이 회식 있다고 하면 제가 막 불안하고 진정이 안되고 분 간격으로 전화해서 확인해요,배경/남자친구/집착
살면서 누구한테 미움 받아본 적이 없는 거 같아,배경/대인관계/양호
원래 안 그랬는데 요즘 들어 기억력이 엄청 떨어진 것 같거든,증상/기억력저하
내가 학교를 좀 많이 빼먹긴 해,배경/학교/결석
몸이 안 아픈 곳이 없어,증상/통증/전신
내가 할 수 있는 게 아무것도 없는 거 같아요,감정/무력감
저한테는 정말 과분한 사람이라 생각하는데 그러시니까 막 화가 나잖아요,감정/화
엄마는 그래도 아버지인데 잘해드려라 이러거든,배경/부모
이유 없이 가슴이 벌렁거릴 때도 있고,증상/두근거림
열여덟살이었어요 분명 열여덟살이었는데,배경/어린시절
남편이 외동이에요 ,배경/남편
그런데 내가 게으르게 행동을 하고 싶어서 하는 게 아니라 습관처럼 굳어져버린 거 같아,증상/무기력
그 외 시간에는 늘 우울한 기분이 깔려 있어,감정/우울감
손톱을 물어뜯지 않으면 몸에 있는 딱지를 건들여,증상/자해
가만히 있다가 까르르 웃고 친구들 만나서도 미친 듯이 떠들어댔죠,감정/즐거움
눈은 피곤한데 잠이 안와서 핸드폰 하다가 잠들 때가 많거든요 ,증상/불면
어딘가 잘못됐을까요,감정/걱정/건강염려
주 전에 축구가 끝나고 다 같이 아침 식사를 하러 가는데 심장이 계속 미친 듯이 뛰는 거야 ,증상/두근거림
그런데 대학교에 딱 입학하고 나니까 시험 끝나고 긴장이 풀려서 그런가 ,배경/대학/입학
빚이 억이래요,배경/경제적문제/빚
수능이 얼마 남지 않은 때였는데 아직도 그 이미지가 선명해,모호함
나도 나이가 있으니 재혼을 축하해주고 싶었는데안될 사람은 안되나봐,감정/부정적사고
나만 왜 남자친구가 없을까 아무도 나를 좋아해주지 않는 것 같아 나는 사랑 받을 자격이 없나봐,배경/남자친구/고민/없음
정말 어처구니 없는 일이죠 ,감정/모호함
우리집이 예전에 되게 가난했단 말이야,배경/경제적문제/가난
머릿속에서 그 이미지를 지우고 싶은데 자꾸만 생각나서요,증상/반복사고
마음 맞는 사람들끼리 모여 밴드를 하고 있어,배경/생활
머리에 물이 차는 것처럼 꽉 조여오는 느낌이야,증상/두통
원하지 않는 대학만 합격해서 재수를 했어,배경/대학/재수
멈춰야지 하는데 멈춰지지 않는 거야 결국 큰소리로 웃어버렸지 뭐야,감정/통제력상실
지금 미국에서 유학 중이에요,배경/유학
남편이 이것저것 뭐 해보려고 노력은 했는데 다 잘 안 됐구요,배경/사업/실패
다른 이유가 있어서 못 자는 건 아니에요,증상/불면
단 하루만이라도 맘 편히 푹 자고 싶어,증상/불면
성격이 급하다 보니까 말도 급하고 더 과격하게 표현이 나가는 거 같아,배경/성격/급함
내가 무슨 정신과냐고 갑자기 화가 나서 뭐라 했는데,감정/화
요새는 계속 자다깨다 자다깨다 하는 것 같아요,증상/불면
그래서 사업을 시작했는데번번이 실패했어요,배경/사업/실패
이렇게 죽는구나 그런 생각밖에 할 수 없었어요,증상/죽음공포
집에서 축구를 보다가 갑자기 숨이 막히면서 죽을것 같은 기분이 들었어요,증상/죽음공포/호흡곤란
카드 내역 보면 옷 산 게 많은데 아빠 평소에 옷 잘 안 사거든요,배경/부모/아버지
원래 먹는 재미로 사는 스타일인데어쩌다 이렇게 된건지 모르겠어,증상/식욕저하
자해를 할 때면 말이야,증상/자해
그래봤자 중학생들인데 어떻게 그럴 수 있을까요,모호함
근데 그것도 잠시였고 한 달만 지나니까 막 돈 걱정이 되는 거예요,감정/걱정/경제적문제
아니 한 주 전인가 그 때 점심시간에 공 찼거든,배경/생활/운동
거기다가 아빠는 한 번 폭발하면 자제가 안 되는 사람인데 맞은 적도 많아요,배경/부모/아버지/폭력
내가 생각해도 성격이 좀 예민한 편이긴 해,배경/성격/예민함
마음에 평안이 왔으면 좋겠다,감정/불안감
작년까지 직장에 다녔어,배경/직장
거울을 보고 너무 깜짝 놀랐어요,감정/충격
아빠도 없어서 힘든데 엄마까지 이러니까 정말 너무 죽고 싶었고,감정/자살충동
꼭 어디서 날 지켜보는 것처럼,증상/피해망상/감시
그래서 다음 걸로 표 바꿔서 좀 쉬었다가 겨우 타긴 탔는데,모호함
막 심호흡도 해보고 그런 일 안 일어난다 생각해보려고 했는데 소용없더라구,자가치료/심리조절
작년 이맘때도 알러지 때문에 고생했어,배경/건강문제/알레르기
요즘 보통 다 종이로 안 받잖아 근데 이건 뭔가 했지,감정/생각
그 뒤부터 우울해진 거예요,감정/우울감
차 찌그러지는 소리와 함께 잠깐 정신을 잃었어,배경/사고/교통사고
안 먹으니까 주 동안 몸무게가 키로가 빠지더라고요,증상/체중감소
근데 오늘 학교에서 소풍으로 놀이공원을 가게 됐단 말이야,배경/학교
사람 취급 못 받고 사는 거 같아,감정/절망감
기절할 것 같은 느낌이 들어서 중간에 내렸어,증상/기절예기
말도 안 된다는 거 알고 그래서 고쳐보려고 했는데 마음이 그렇게 안 돼,자가치료/심리조절/증상지속
남편이랑은 학원에서 선생 제자로 만났는데,배경/남편
그래도 어지간하면 다니려고 했는데 결국 터질게 터졌어 ,배경/사고
아빠가 저 어렸을 때부터 엄마 많이 때렸거든요 저도 맞았고,배경/부모/아버지/폭력
차근차근 성적도 올리고 있고 예전처럼 마냥 울거나 그러지도 않아,자가치료/심리조절
역 앞에 맛있는 빵집이 생겼다고 해서 거기서 빵을 잔뜩 사고 가는 길이었어요,배경/생활
저번엔 진상도 진상도 그런 진상이 없었어 ,감정/짜증
광주에서 숙박업을 했었는데 그게 잘 안됐어요,배경/사업/실패
나는 중환자실을 가겠다고 했어,배경/직장
몸만 안 아프면 걱정할게 없는데,배경/건강문제
새벽에 일어나서 화장실을 가는데 갑자기 힘이 쫙 풀리면서 쿵 하고 쓰러졌어요,증상/기절
앞으로 어떻게 해야 하나 그 생각만 내내 들고 밤에 잠도 안 와,증상/불면
내가 집에서는 전혀 존중 받지 못한다는 느낌을 받았어 ,감정/속상함
아들한테 부끄럽지도 않았나봐 아빠라는 사람이,모호함
체중이 갑자기 많이 늘었어,증상/체중증가
내가 평소에도 걱정이 좀 많거든,감정/걱정
어떻게든 진정을 해보려고 심호흡을 하는데도 소용이 없더라고,자가치료/심리조절/증상지속
저는 착한 마음으로 살고 있는데 사람들은 냉정하고 나빠요,감정/부정적사고
진짜 막막하다,감정/답답
요즘은 더 심해진 것 같아요 한 시간은 침대서 뒤척이다가 겨우 자요 ,증상/불면
요즘 일이 좀 많긴 했어요 분기 거의 막바지라,배경/직장/과도한업무
내가 힘들다고 하소연해도 연애 때와는 다르게 모든 것을 이해하라고 요구했어,배경/남편/소통불가
시누이는 이혼하고 집에 있는데 아무 것도 안 해요 내가 하지,배경/시댁
심각한 상태인 거 같아서 일단 회사는 휴직계를 내서 쉬고 있어요,배경/직장/휴직
평소에도 좀 평소랑 다른 일이 있으면 금방 불안해지는 편이거든,감정/불안감
손을 너무 자주 씻어요 집에만 있는데도 수시로 한 분 마다 씻는 것 같아요,증상/반복행동/손씻기
그래서 요즘 마음이 너무 싱숭생숭하네요,감정/심란
근데 난 진짜 심각하거든 하루에도 몇 번씩 떨어질까 말까 고민하고옥상에 올라가,감정/자살충동
더 늦기 전에 남편 손 잡고 가서 낙태 수술을 받았어,배경/임신/낙태
여자친구들은 많은데 이성친구가 하나도 없어서 뭔가 인간관계가 한정적인 느낌이야,배경/대인관계/협소
원래도 약간씩 가슴이 아플 때가 있었어요 ,증상/가슴통증
뭔가 정신적인 문제일 수도 있어서 상담 좀 받으려고 왔어요,내원이유/상담
사실 원했던 곳이 아니었더라도 대충 갔을지도 몰라요,배경/대학
오프라인 쇼핑몰도 불편해서 주로 온라인으로 주문해요,배경/성격/내성적
고치고 싶어서 뽑으면 안 된다 생각도 해봤는데 잘 안 돼요,자가치료/심리조절/증상지속
가족들이 아무도 저에게 관심이 없어요 익숙해요,배경/가족/무관심
특별히 뭐 잘 못 먹은 것도 아닌데 속이 안 좋아요,증상/메스꺼움
남편이 애들한테 관심이 없어요,배경/남편/무관심
내가 낮에는 식당을 다니고 밤에는 대리운전을 뛰는데요,배경/직장
그래서 커터칼로 팔을 그었어 ,증상/자해
젊을 때부터 술을 많이 마셨거든요,배경/음주/애주가
술 기운을 빌려 살고 있는것 같네요,증상/알코올의존
나보다 나이도 적당히 많고 또래보다 성숙해 보여서 좋았어,배경/연애
제가 대화를 피하는 것도 있는 것 같아요,증상/대화기피
어느새 눈물이 뚝뚝 흐르고 있더라고요 ,감정/눈물
먹으면 머리가 막 엄청 지끈거리고 술 마신 것 같고 그래요,증상/두통
분명 내가 계속 바라던 일이었는데도 기분이 안 좋네,감정/기분저하
너무 괴롭다,감정/괴로움
어차피 인생은 혼자고 내가 사는 인생 먹다가 죽는 돼지로 살던 내 마음이니까,감정/생각
잠을 시간씩밖에 못 잤어요 ,증상/불면
애인이랑 헤어졌어,배경/연애/이별
저는 혼자 있는 게 좋아요,증상/대인기피
술자리보다 술 자체를 엄청 즐기는 편이야,배경/음주/애주가
그 다음 날부터 일을 하는데 아씨 거기 외교부 직원이 진짜 이상한 거야,배경/대인관계/갈등
내 꿈은 음악가야,배경/진로
신랑 일이 계속 잘 안 돼서 경제적으로 어려웠어,배경/남편/경제적문제
공부도 재미있고 학교 활동도 재미있었어요,감정/즐거움
내가 이 회사를 다니는 게 맞나 그런 생각도 들고요 ,감정/걱정/미래
조금 늦더라도 대학을 꼭 가야겠더라,배경/대학
몸이 너무 불어난 거 같아서 겨울부터 운동을 다니고 있어요,배경/생활/운동
새벽에 먹고 싶은 거 다 시켜서 배 터질 것 같아도 먹었어요,증상/폭식
회사도 관두고 군대도 안가도되고 그냥 아무생각없이 치료받았어요,치료이력/병원내원
안 뽑아보려고 했는데 답답해서 죽겠는거에요,감정/답답
자해를 자주 하는데 죽으려고 하는 건 아니야,증상/자해
내 몸이 내 몸이 아닌 것 같았어,감정/심란
그 학생들을 볼 때마다 억장이 무너져요,감정/슬픔
진짜 너무 마려워서 급하게 뛰어 들어갔는데 사람이 있는 거야,배경/문제
뭐 어쩌겠어요 보살필 사람이 저뿐인데,모호함
곰곰이 생각해보니까 나 그 전부터 뭔가 이상한 소리도 들렸거든,증상/환청
요즘 계속 머리가 멍한 거 같아,감정/멍함
하루종일 시어머니랑 같이 있으려니 숨이 다 막혀요,배경/시댁/갈등/시어머니
고등학교 때 친구들이랑은 잘 지냈는데 선생님들이 나를 싫어했어,배경/학교/갈등/선생님
막 심호흡도 해보고 그런 일 안 일어난다 생각해보려고 했는데 소용없더라구,자가치료/심리조절
나도 그래,일반대화
왜 갑자기 걔 생각이 났을까 그리고 왜 지하철을 타니까 그랬지,모호함
남들은 다 쉽게 쉽게 하는데 나한테만 기회가 안 돌아온다는 느낌 ,감정/부정적사고
보고 너무 놀라서 바로 껐는데 그 후로 악몽처럼 꿈에도 나와요,증상/악몽
밥맛도 없고 잠을 깊게 못 자요,증상/식욕저하/불면
시간이 지날수록 열심히만 해서는 안되는것도 있단걸 알았어,감정/부정적사고
결혼을 해야 하는 이유를 잘 모르겠어 ,배경/결혼/미혼
불안해서 전 날에 가방 다 챙겨놓고 아침에 다 꺼내서 일일이 다 확인하고,증상/반복행동/확인
엄마한테 전화를 할까 말까 고민하는데 갑자기 목구멍이 좁아지면서 숨이 안 쉬어졌어요,증상/호흡곤란
집에 늘어져 있으니까 아무것도 하기 싫어요,감정/의욕상실/무기력
남편이 여직원을 하나 데리고 무역업을 하거든 ,배경/남편/사업
살때 있었던 일도 기억이 나,배경/어린시절
이제 어떻게 해야 할지 모르겠어,감정/힘듦
이런 걸로 이혼하긴 그런데그래도 요즘은 정말 꼴도 보기 싫네요,감정/미움
아무도 안 볼 때 칼로 팔등과 손목을 그어,증상/자해
근데 초등학교 학년때인가,배경/어린시절
별거 아닌 일에도 쉽게 짜증이 나더라 ,감정/짜증
내가 별로 좋아하지 않아서 그런 건가 싶었는데 그건 아니고,모호함
남편의 태도변화에 극단적인 생각까지 할 수 밖에 없었어,배경/남편/무관심
여러 가지 문제로 제가 대표이사로 올라가 있어요,배경/사업
다른 거로는 해소가 안 돼 오직 내 손으로 두려움과 함께 긋는 거야,감정/두려움
자려고 침대에 누워도 잠이 안와요,증상/불면
몸이 점점 말을 안 듣네요,증상/컨디션저조
평소에 힘들었던 일 다 생각나면서 너무 죽고 싶어서,감정/자살충동
근데 쌍둥이 동생은 일을 관둘 수가 없어서 결국 제가 관뒀어요,배경/직장/퇴사
굉장히 매력적이죠 예술가들이 원래 멋지잖아요,배경/남자친구/동경
사람들이 막 웃어댔는데 진짜 그 때만 생각하면 아직도 너무 끔찍해,감정/괴로움
누워 있으면 온갖 생각이 다 나요,증상/불면/생각많음
저는 어떡하면 좋죠,감정/걱정
몸은 정말 피곤해서 누우면 바로 잘 것 같은데 잠이 안 와 미치겠어요,증상/불면
가면 고생 할 것 같은데 안 가자니 뭔가 심란할 것 같고,감정/심란
원래 성격이 자립적이야,배경/성격/자립적
비둘기가 너무 무섭다,감정/공포/새
잘 때 팔다리도 저리고,증상/저림현상/발/손
가족 친구들과 떨어져 지내야 해서 외로웠지만 신랑을 믿고 의지했어요,배경/남편/의지
계속 자다 새벽에 깨고 뭔가 자도 개운치 않은 느낌이 몇 년 동안 계속 있었거든,증상/불면/증상지속
그래서 집에 있을 때는 거의 누워있어요,증상/무기력
그리고 다시 나와서 또 일하다 밤늦게 들어갔어요,배경/생활
근데 하나도 좋지 않은 거예요 오히려 무서웠어요,감정/무서움
누군가 나를 치기 전에 내가 먼저 쳐야 하는 거 아닌가 이런 생각도 들고,증상/공격적성향
